variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
deep,baseline,1,lb,0,200,300,0.1,72.042786,0.001440,0.945000,74.943512,0.002585,0.941
deep,baseline,2,lb,0,200,300,0.1,77.596329,0.001433,0.941000,73.103157,0.002725,0.935
deep,baseline,3,lb,0,200,300,0.1,72.054970,0.002032,0.941000,73.036606,0.002547,0.936
deep,exp2,1,mst,1,32,64,0.05,78.087051,0.001495,0.959000,76.641396,0.002610,0.953
deep,exp2,2,mst,1,32,64,0.05,77.888756,0.001402,0.951000,83.694458,0.002678,0.959
deep,exp2,3,mst,1,32,64,0.05,77.860580,0.001380,0.964000,77.324661,0.002703,0.961
deep,exp3,1,mst,1,32,128,0.05,78.256470,0.001443,0.956000,75.708694,0.002625,0.953
deep,exp3,2,mst,1,32,128,0.05,78.323204,0.001500,0.954000,79.366417,0.003167,0.954
deep,exp3,3,mst,1,32,128,0.05,78.415710,0.002044,0.960000,76.778481,0.002594,0.955
deep,exp4,1,mst,1,64,64,0.05,78.966606,0.001458,0.958000,78.120377,0.002554,0.955
deep,exp4,2,mst,1,64,64,0.05,77.867859,0.001392,0.957000,77.254997,0.002474,0.951
deep,exp4,3,mst,1,64,64,0.05,77.069839,0.001414,0.957000,78.838242,0.002663,0.955
deep,exp5,1,mst,1,64,128,0.05,76.293457,0.001388,0.958000,78.641624,0.002739,0.953
deep,exp5,2,mst,1,64,128,0.05,76.366409,0.001620,0.959000,78.281425,0.002749,0.956
deep,exp5,3,mst,1,64,128,0.05,77.987648,0.001569,0.955000,77.770065,0.002702,0.958
deep,exp6,1,mst,1,128,128,0.05,76.739578,0.001984,0.959000,78.344612,0.002701,0.951
deep,exp6,2,mst,1,128,128,0.05,80.929733,0.001809,0.959000,77.069305,0.002608,0.956
deep,exp6,3,mst,1,128,128,0.05,78.721527,0.001438,0.962000,78.753525,0.002742,0.954
deep,exp7,1,mst,1,32,64,0.01,78.696068,0.001432,0.959000,79.018562,0.002849,0.948
deep,exp7,2,mst,1,32,64,0.01,84.318756,0.002039,0.961000,79.447289,0.002658,0.958
deep,exp7,3,mst,1,32,64,0.01,77.948067,0.001411,0.956000,77.075027,0.002599,0.952
deep,exp8,1,mst,1,32,64,0.10,78.447197,0.001426,0.957000,76.499847,0.002994,0.953
deep,exp8,2,mst,1,32,64,0.10,78.803711,0.002022,0.956000,78.545471,0.002653,0.958
deep,exp8,3,mst,1,32,64,0.10,77.661667,0.001467,0.953000,81.472054,0.002966,0.949
